Date,Score,Comment,Store,Year
02/7/2022 8:48:04,10 - Excelente!,"Fui muito bem atendinda desde a recepção, vendas e atendente do procedimento",Tatuapé,2022
02/7/2022 8:48:05,10 - Excelente!,Ótimo atendimento,Tucuruvi,2022
02/7/2022 8:48:08,9 - Ótimo,"Excelente atendimento, limpeza e organização da clinica impecáveis! Foi uma ótima experiência!",Londrina,2022
02/7/2022 8:48:15,9 - Ótimo,Simplesmente estou amando tudo,Tucuruvi,2022
02/7/2022 8:48:18,10 - Excelente!,.,Paulista,2022
02/7/2022 8:48:19,10 - Excelente!,As meninas são super atenciosas. Não tenho do que reclamar,Sorocaba,2022
02/7/2022 8:48:19,4 - Ruim,"Não tenho o que dizer , somente Parabéns.",Paulista,2022
02/7/2022 8:48:20,10 - Excelente!,Sempre uma energia ótima estar na unidade Tatuapé ❤️,Tatuapé,2022
02/7/2022 8:48:21,6 - Médio,Melhorar a agenda de horários e contratar mais profissionais,Campinas,2022
02/7/2022 8:48:24,10 - Excelente!,"Fui muito bem atendida, todas muito simpáticas.",Santos,2022
02/7/2022 8:48:24,10 - Excelente!,ótimo,Tatuapé,2022
02/7/2022 8:48:24,8 - Bom,Atendimento tranquilo Sem atraso,Lapa,2022
02/7/2022 8:48:28,10 - Excelente!,Ter mais promoções para continuar o tratamento,Tatuapé,2022
02/7/2022 8:48:29,10 - Excelente!,no dia poderiam ter avisado que estavam sem 1 dos equipamentos e remarcado a minha sessão,Santos,2022
02/7/2022 8:48:31,10 - Excelente!,Gostei muito de todos os procedimentos!,Paulista,2022
02/7/2022 8:48:33,10 - Excelente!,"Nada para sugerir, estava tudo perfeito!",Sorocaba,2022
02/7/2022 8:48:35,10 - Excelente!,Ótimo atendimento,Santos,2022
02/7/2022 8:48:38,10 - Excelente!,Sem comentários,Tucuruvi,2022
02/7/2022 8:48:45,10 - Excelente!,tudo maravilhoso,Moema,2022
02/7/2022 8:48:46,10 - Excelente!,sem nada a comentar por enquanto,Paulista,2022
02/7/2022 8:48:48,10 - Excelente!,Amei o atendimento a médica foi super simpática e atenciosa. Amei tudo.,Santo Amaro,2022
02/7/2022 8:48:48,4 - Ruim,"A funcionária que fez as aplicações em mim chegou 20 minutos atrasada, não falou nada sobre o atraso, quiz fazer a sessão com pressa e encerrar antes. Eu estava sentindo uma dor fora da realidade, até chorando, ela nunca tentou me acalmar ou ser delicada. Falou que ê sessão dura 20 minutos, eu deveria decidir se continua ou para. Entendo o lado dela, mas ela é super grosseira.",Paulista,2022
02/7/2022 8:48:55,10 - Excelente!,Ótimo atendimento.,Belo Horizonte,2022
02/7/2022 8:48:55,10 - Excelente!,Sempre muito atenciosos.,Paulista,2022
02/7/2022 8:49:01,10 - Excelente!,Sem comentarios,Tucuruvi,2022
02/7/2022 8:49:06,10 - Excelente!,"A equipe de vocês, aqui em Campinas, é super atenciosa. Me sinto entre amigos.",Campinas,2022
02/7/2022 8:49:06,7 - Regular,Foi feito rápido e ainda sai com.bastante cravo,Tijuca,2022
02/7/2022 8:49:08,10 - Excelente!,Não gostei do resultado do preenchimento! Vou aguardar o período de 30 dias para ver se terei resultado esperado!,Lapa,2022
02/7/2022 8:49:10,10 - Excelente!,.,Piracicaba,2022
02/7/2022 8:49:11,10 - Excelente!,Atendimento muito bom Ótima profissional,Tijuca,2022
02/7/2022 8:49:12,10 - Excelente!,"Gostei do q fui fazer,fui muito bem recepicionada",Campinas,2022
02/7/2022 8:49:18,10 - Excelente!,"Apenas a questão de cumprir os horários agendados, dessa vez fiquei esperando meia hora",Ipiranga,2022
02/7/2022 8:49:28,10 - Excelente!,Acho que poderia ficar disponivel a agenda num app e depois so poderia confirmar ela ligando/wtsp,Ipiranga,2022
02/7/2022 8:49:36,10 - Excelente!,Atendimento muito bom,Tijuca,2022
02/7/2022 8:49:37,7 - Regular,"Bom dia Gostaria que a clínica ligasse para a pessoa 1 dia antes do atendimento para confirmar a presença da pessoa e para lembrar. Tô fazendo o clareamento do joelho e cotovelo são 3 sessões. Fiz a segunda e ainda não estou vendo o resultado desejado. Achei os produtos muito fraco para a mancha. Esses produtos e mais para clareamento do rosto e nao joelhos e cotovelos. Obrigada , Sandra Pinheiro dos Santos",Tatuapé,2022
02/7/2022 8:49:47,10 - Excelente!,Ótimo ambiente e um excelente atendimento!,Tatuapé,2022
02/7/2022 8:49:51,8 - Bom,Bom atendimento,Santo Amaro,2022
02/7/2022 8:50:07,9 - Ótimo,Atendimento excelente!,Paulista,2022
02/7/2022 8:50:16,9 - Ótimo,Minha experiência ta sendo maravilhosa,Tijuca,2022
02/7/2022 8:50:18,8 - Bom,"Achei OTIMO o atendimento na realização do procedimento de remoção, porém tive que aguardar 20 minutos para ser atendido ... como estava com compromisso na sequencia tive que me desdobrar .. Um ponto de melhoria seria o comprimento do agendamento feito.",Campinas,2022
02/7/2022 8:50:31,10 - Excelente!,sugiro que outras profissionais evitem entrar na sala em horario de atendimento,Lapa,2022
02/7/2022 8:50:32,9 - Ótimo,Excelente atendimento. Seja o grupo administrativo como o grupo de profissionais técnicos.,Santos,2022
02/7/2022 8:50:41,10 - Excelente!,"Muito bem atendida! Boa vontade da equipe em me encaixar no horário. Profissional Lorena, que realizou meu tratamento, é excelente.",Tijuca,2022
02/7/2022 8:50:41,9 - Ótimo,"Excelente profissional Isabella Precisam consertar urgente o aparelho para fazer limpeza de limpeza, há meses quebrado. Absurdo.",Tijuca,2022
02/7/2022 8:50:44,10 - Excelente!,N/A,Lapa,2022
02/7/2022 8:50:50,8 - Bom,O pessoal da unidade não interage com os clientes. Todo assunto se resume em passar orçamento.,Tucuruvi,2022
02/7/2022 8:51:00,10 - Excelente!,Tá boa,Copacabana,2022
02/7/2022 8:51:08,10 - Excelente!,Um ótimo atendimento todos muitos prestativos,Tatuapé,2022
02/7/2022 8:51:16,10 - Excelente!,"Na minha opinião está tudo muito bom. Organização, tratamento e o carinho de todos só tenho agradecer mesmo. Muito obrigada pelo atendimento.",Belo Horizonte,2022
02/7/2022 8:51:26,9 - Ótimo,Poderia ter um preço especial para quem precisa de mais de um tipo de tratamento,Piracicaba,2022
02/7/2022 8:51:38,9 - Ótimo,fazer promocoes e enviar toda semana pelo zap,Copacabana,2022
02/7/2022 8:51:45,4 - Ruim,Fiquei insatisfeito com minha depilacao nao barba que ficou incompleta,Santos,2022
02/7/2022 8:51:48,7 - Regular,Falta manejo da esteticista na aplicação de hecus,Ipiranga,2022
02/7/2022 8:52:02,9 - Ótimo,Pouco fora do horário,Londrina,2022
02/7/2022 8:52:03,10 - Excelente!,Muito bom o atendimento,Tucuruvi,2022
02/7/2022 8:52:09,10 - Excelente!,Equipe de recepção muito ruim desorganizada terapeuta Natália excelente só obtive melhora c ela as demais q realizei não obtive! Pensa só foram 2 atendimentos c elas se fosse mais teria melhora na minha mancha no rosto,Tatuapé,2022
02/7/2022 8:52:20,10 - Excelente!,Profissionais simpáticas e atenciosas,Tijuca,2022
02/7/2022 8:52:30,10 - Excelente!,Foi ótimo atendimento às meninas sempre prestativa,Sorocaba,2022
02/7/2022 8:52:39,1 - Péssimo!,"Tenho hábito de fazer limpeza de pele, e nunca tinha saído com o rosto tão inchado e vermelho, a profissional usou poucos instrumentos e tirou a maioria dos cravos e espinhas apertando, foi péssima a experiência",Ipiranga,2022
02/7/2022 8:52:51,10 - Excelente!,Elogios para minha consultora e as técnicas q são super maravilhosas .,Tatuapé,2022
02/7/2022 8:53:08,9 - Ótimo,Fiquei muito grato quando antes de ir embora recebi uma mascara de proteção gratuita onde nem todos oferecem. OBRIGADO,Santos,2022
02/7/2022 8:53:26,8 - Bom,"Fui bem atendida, como de costume",Tatuapé,2022
02/7/2022 8:53:35,10 - Excelente!,"Gostei do atendimento, não tenho críticas a fazer",Campinas,2022
02/7/2022 8:53:35,10 - Excelente!,nenhum,Paulista,2022
02/7/2022 8:53:36,6 - Médio,"Uma dificuldade absurda de retorno de contato com a unidade Tijuca para marcar a sessão, a unidade não possui o aparelho que iniciei o tratamento na Tijuca, fui atendido com atraso e profissional com má apresentação pessoal para uma empresa de estética.",Tijuca,2022
02/7/2022 8:54:00,10 - Excelente!,A profissional que me atendeu é excelente. Gostaria inclusive de fazer as próximas sessões com ela.,Paulista,2022
02/7/2022 8:54:08,10 - Excelente!,Atendimento excelente as meninas super educadas Porém o procedimento não está fazendo efeito nenhum (remoção de tatuagem) Observei que tem várias reclamações da empresa sobre o mesmo caso Sinto que estou jogando meu dinheiro fora 😔,Santo Amaro,2022
02/7/2022 8:54:17,10 - Excelente!,A equipe é muito simpática. O atendimento online muito eficiente.,Ipiranga,2022
02/7/2022 8:54:22,9 - Ótimo,"Precisa de um pouco mais de agilidade para atender as clientes no horário agendado, para não ocorrer atrasos.",Campinas,2022
02/7/2022 8:54:24,10 - Excelente!,Amei o atendimento,Tijuca,2022
02/7/2022 8:54:32,10 - Excelente!,"Adorei a unidade, funcionários excelentes!!",Barra da Tijuca,2022
02/7/2022 8:54:59,10 - Excelente!,"O atendimento foi excepcional. Mas, eu questiono se é mesmo possível remover uma tatuagem colorida.",Paulista,2022
02/7/2022 8:55:04,10 - Excelente!,"Todas as vezes que vou fazer procedimento na pro corpo sou muito bem atendida pela Ana que é uma excelente profissional, muito atenciosa e bastante educada. Sempre recomendo para as minhas amigas. Porém, houve uma confusão na agenda com algo que eu havia perguntado à recepcionista no dia anterior e achei que a recepcionista tentou dizer que eu não havia perguntado e foi ríspida. Faço tratamento na pro corpo há muitos anos e me senti ofendida. Mas o atendimento da Ana em si foi excelente.",Campinas,2022
02/7/2022 8:55:13,10 - Excelente!,O atendimento foi ótimo,Tatuapé,2022
02/7/2022 8:55:23,10 - Excelente!,Gostei de tudo,Paulista,2022
02/7/2022 8:55:29,10 - Excelente!,"Não tenho nenhuma crítica, foi atendida super bem",Barra da Tijuca,2022
02/7/2022 8:55:37,9 - Ótimo,otimo,Londrina,2022
02/7/2022 8:55:45,10 - Excelente!,Sou muito bem recebida e todos que vão comigo também.,Tijuca,2022
02/7/2022 8:55:49,10 - Excelente!,"O pacote devia ser com um aparelho combinado com as enzimas, terminei e não vi resultado",Tatuapé,2022
02/7/2022 8:56:02,10 - Excelente!,Otimo atendimento.,Santos,2022
02/7/2022 8:56:22,10 - Excelente!,Estava tudo bem!,Paulista,2022
02/7/2022 8:56:27,10 - Excelente!,"Só não estava agendado a cortesia do peeling, conforme me disseram quando marquei. como a esteticista não sabia, não foi feito. Ainda bem que tenho outras semanas, senão ficaria no prejuízo.",Tijuca,2022
02/7/2022 8:56:53,10 - Excelente!,Nada a acrescentar,Barra da Tijuca,2022
02/7/2022 8:57:42,8 - Bom,"O atendente demora, não atende no horário agendado.",Santo Amaro,2022
02/7/2022 8:57:49,10 - Excelente!,"Nenhuma, tudo. Ótimo",Ipiranga,2022
02/7/2022 8:57:51,8 - Bom,Fui bem atendida,Campinas,2022
02/7/2022 8:57:54,8 - Bom,"Bom dia ,Eu fiz ja 3 sessões de remoçao de tattoo ao lazer E ainda não deu o resultado que esperava Mas o atendimento e muito boa e amo toda a equipe",Paulista,2022
02/7/2022 8:58:35,10 - Excelente!,Adorei todos os procedimentos,Paulista,2022
02/7/2022 8:58:36,5 - Médio,"Tenho uma certa dificuldade com a Comunicação, já tentei ligar ou mandar mensagem cedo e não tem uma recepcionista que responda, espaço que começar a atender as 08:30 h deveria ter uma recepcionista 07:30/8h. P.s comunicação acho muito lenta. Já levaram 2 dias para me responder ! Quanto procedimento da Drenagem eu faço com a Cíntia adoro, aliás só fechei mais pacotes porque gosta do trabalho dela! Sobre estrutura acho que deveria ter uma manta térmica nas maca. Luz mais baixa para relaxar, é ruim quando a luz clara fica no olho. Outra coisa sobre as pessoas entrarem na sala sem bater na porta.",Itaim,2022
02/7/2022 8:58:40,7 - Regular,"A massagem pro detox, no site está escrito que tem 30min de duração. É a segunda vez que faço e em ambas tive apenas 20 minutos de massagem",Ipiranga,2022
02/7/2022 8:59:01,10 - Excelente!,Excelentes profissionais,Piracicaba,2022
02/7/2022 8:59:28,10 - Excelente!,"Muito bom atendimento,meninas super atenciosas",Santo Amaro,2022
02/7/2022 8:59:28,7 - Regular,.,Itaim,2022
02/7/2022 8:59:29,8 - Bom,"Atendimento foi bom no geral, mas prefiro que a extração dos cravos do nariz seja feita com uma espátula, não com a mão (dói demais)",Tatuapé,2022
02/7/2022 8:59:37,9 - Ótimo,A Clínica está deixando a desejar nos atendimentos. Gerente péssima. A Quezia que trabalha no setor de vendas . Está atendendo mal os clientes.,Belo Horizonte,2022
02/7/2022 8:59:46,10 - Excelente!,BOM ATENDIMENTO,Tijuca,2022
02/7/2022 9:00:53,10 - Excelente!,"Apesar do procedimento ser muito doloroso, ocorreu tudo bem e o atendimento foi ótimo.",Paulista,2022
02/7/2022 9:01:13,10 - Excelente!,"Atendimento perfeito, procedimento realizado com excelente profissional e resultados incríveis. Continuem assim realizando sonhos de todos que buscam estar cada dia mais renovado (a).",Campinas,2022
02/7/2022 9:01:23,5 - Médio,"O atendimento pré fechamento de contrato é ótimo e atencioso, porém o atendimento pós venda não é nada bom, falta informação referente aos procedimentos realizados portar-te-ás dos profissionais que realizam. Assim dificilmente fidelizará o cliente, ao menos segundo a minha percepção.",Santo Amaro,2022
02/7/2022 9:01:25,10 - Excelente!,nada a acrescentar,Lapa,2022
02/7/2022 9:01:31,8 - Bom,Sem críticas,Paulista,2022
02/7/2022 9:03:04,10 - Excelente!,Sem críticas,Santo Amaro,2022
02/7/2022 9:03:07,10 - Excelente!,Atendimento otimo,Londrina,2022
02/7/2022 9:03:41,10 - Excelente!,"Atendimento maravilhosa, profissional Amanda que me atendeu super atenciosa!",Tijuca,2022
02/7/2022 9:03:54,10 - Excelente!,Acho ótimo o atendimento da Jaque super atenciosa deixando a gente super a vontade.,Santos,2022
02/7/2022 9:03:54,7 - Regular,Aguardei mais de 1 hr e média para ser o procedimento,Paulista,2022
02/7/2022 9:04:27,9 - Ótimo,Sem comentários,Londrina,2022
02/7/2022 9:04:42,10 - Excelente!,Tudo ótimo.,Paulista,2022
02/7/2022 9:05:06,10 - Excelente!,otimo,Santo Amaro,2022
02/7/2022 9:05:12,10 - Excelente!,Excelente atendimento,Itaim,2022
02/7/2022 9:05:22,9 - Ótimo,Me senti a vontade com ótimo atendimento! As meninas são acolhedoras e a clínica tem uma ambiente bem tranquilo.,Lapa,2022
02/7/2022 9:05:28,9 - Ótimo,Sem Comentarios,Itaim,2022
02/7/2022 9:05:29,7 - Regular,melhor comprimento do horário agendado,Paulista,2022
02/7/2022 9:05:32,7 - Regular,"Sugiro profissionais com mãos mais leves pra extrair cravos. Doeu muito e tb padronização na limpeza. Nesta ocasião a moça não usou aquele ""canhão"" de ozônio como na primeira vez.",Ipiranga,2022
02/7/2022 9:06:16,10 - Excelente!,Atendimento perfeito,Copacabana,2022
02/7/2022 9:07:31,10 - Excelente!,Atendimento no horário e de boa qualidade,Tucuruvi,2022
02/7/2022 9:07:59,10 - Excelente!,A esteticista Vivian é uma profissional atenciosa e cuidadosa.,Tijuca,2022
02/7/2022 9:08:16,9 - Ótimo,Bom atendimento,Tucuruvi,2022
02/7/2022 9:08:19,9 - Ótimo,Atendente simpática e cuidadosa,Lapa,2022
02/7/2022 9:08:28,10 - Excelente!,Estou adorando meu tratamento. Já obtive resultados. Obrigada. 🙏😘,Santos,2022
02/7/2022 9:09:12,10 - Excelente!,Tudo excelente,Tatuapé,2022
02/7/2022 9:09:41,10 - Excelente!,Ótimo atendimento das funcionárias. Massagem perfeita.,Campinas,2022
02/7/2022 9:09:47,10 - Excelente!,"Fui bem recepcionada, desde o momento por contato telefônico até o atendimento.",Piracicaba,2022
02/7/2022 9:10:07,10 - Excelente!,Sem comentários,Santos,2022
02/7/2022 9:10:12,9 - Ótimo,Gostei muito do tratamento,Lapa,2022
02/7/2022 9:10:31,10 - Excelente!,Foi minha primeira sessão e por enquanto tudo ok,Sorocaba,2022
02/7/2022 9:11:21,10 - Excelente!,"Sugiro que os horários agendados entre um e outro tenha uma tolerância de uns 10 minutos +_ pois se por algum motivo atrasa o primeiro atendimento, todas atrasarão, e imprevistos podem acontecer. Além das meninas terem q arrumar a sala, pegar ficha p assinar, isso tudo leva um tempinho. E sempre comunicar as clientes, caso o atendimento vá atrasar, pois pode acontecer mas se ninguém fala nada, fica uma situação chata, e ninguém fala, pois já aconteceu comigo mais de uma vez.",Tijuca,2022
02/7/2022 9:11:40,10 - Excelente!,Nada a reclamar. Atendimento excelente e serviço também.,Tijuca,2022
02/7/2022 9:11:56,10 - Excelente!,É sempre bom ouvir orientações sobre o procedimento realizado. E isso foi feito no momento da aplicação do Sculpra. Achei positivo.,Tijuca,2022
02/7/2022 9:13:40,10 - Excelente!,.,Campinas,2022
02/7/2022 9:14:15,10 - Excelente!,"O banheiro precisa de uma reforma, pois cheira mal, devido instalação não recomendas p banheiro.",Paulista,2022
02/7/2022 9:14:55,5 - Médio,"Bom dia. De toda forma eu iria entrar em contato com vcs. O atendimento das profissionais que fazem efetivamente efetivamente estético é excelente, são extremamente habilitadas, gentis e educadas.. Sempre fui muito bem atendida por todas. Entretanto, ter q passar pela administração, ou seja pela entrada, não é uma boa experiência... As meninas q ficam na frente sequer levantam a cabeça pra dizer bom dia ou boa tarde... Sei q não sou eu somente que sente isso, pois conheço pessoas q frequentam a clínica que sentem a mesma coisa... A gerente nunca levantou a cabeça pra dar um bom dia e ela fica na porta de entrada... Penso que as demais, embora sejam educadas tb acabam seguindo o comportamento da gerente... Por fim, se não fosse as profissionais que fazem os procedimentos eu nunca voltaria já clinica, pois é péssimo O ambiente da entrada... A gerente da clínica não tem vocação pra fica na porta de um estabelecimento onde diariamente entram pessoas procurando um serviço... Precisa melhorar muito O ambiente da clínica!!!",Tucuruvi,2022
02/7/2022 9:15:47,10 - Excelente!,Dr. Paula muito atenciosa...todas as atendentes muito solicitas. Parabéns,Ipiranga,2022
02/7/2022 9:16:54,10 - Excelente!,"Fui muito bem atendida, não tenho reclamações.",Sorocaba,2022
02/7/2022 9:18:12,9 - Ótimo,Muito bom.,Tatuapé,2022
02/7/2022 9:18:29,10 - Excelente!,Elogio ao atendimento,Paulista,2022
02/7/2022 9:20:50,9 - Ótimo,Continuar com os tratamentos de laser.,Campinas,2022
02/7/2022 9:20:51,10 - Excelente!,Muito atenciosos.,Tatuapé,2022
02/7/2022 9:21:53,9 - Ótimo,"Funcionarias atenciosas, super pontual.",Londrina,2022
02/7/2022 9:22:08,9 - Ótimo,Fui muito bem recebida!,Santo Amaro,2022
02/7/2022 9:23:55,10 - Excelente!,"Não tenho palavras, vcs são o máximo!!!",Santos,2022
02/7/2022 9:25:20,8 - Bom,A vendedora podia ser objetiva e parar de fingir me oferecer um desconto de algo que já está na promoção.,Ipiranga,2022
02/7/2022 9:25:31,9 - Ótimo,Gostei bastante,Paulista,2022
02/7/2022 9:28:31,10 - Excelente!,Excelente atendimento.,Belo Horizonte,2022
02/7/2022 9:28:58,10 - Excelente!,Maravilhoso,Copacabana,2022
02/7/2022 9:31:29,10 - Excelente!,Amei o espaço e as funcionárias,Barra da Tijuca,2022
02/7/2022 9:31:39,9 - Ótimo,"Só não foi 10 porque, assim que cheguei para realizar o procedimento marcado, ele não constava como agendado. Felizmente, pude ser atendida.",Paulista,2022
02/7/2022 9:31:45,7 - Regular,geralmente chego no horariobe atendem 20 min 30 min depois do horario marcado.,Londrina,2022
02/7/2022 9:32:26,9 - Ótimo,Mais promoções,Lapa,2022
02/7/2022 9:32:27,10 - Excelente!,"Amei o atendimento,todos muito atenciosos e a profissional excelente",Lapa,2022
02/7/2022 9:33:48,10 - Excelente!,Não tenho críticas. Até o momento estou amando o atendimento nesta unidade.,Sorocaba,2022
02/7/2022 9:33:55,10 - Excelente!,Gostei muito do atendimento. Sugestão ter mais espaço para as pessoas sentarem para aguardarem.,Ipiranga,2022
02/7/2022 9:35:11,10 - Excelente!,Tudo ótimo!,Ipiranga,2022
02/7/2022 9:35:25,10 - Excelente!,As meninas são ótimas no atendimento e a avaliação ta de parabéns a minhas sugestão e que se for fazer uma outra avaliação sem olhar o corpo onde a cliente se sente mais insatisfeito para que ela possa se sentir que estará fazendo o tratamento correto pois cria duvidas apos mudar os pacotes depois da avaliação se olhar novamente,Sorocaba,2022
02/7/2022 9:37:29,7 - Regular,"Achei as meninas muiti dispersas no atendimento e estavam focadas mais em vender o pacote do que prestar o serviço de massagem gratuito para melhor apresentar seu produto e tratamento,enfim estavam focadas em uma reunião interna então não deram muita importância ao atendimento",Campinas,2022
02/7/2022 9:37:35,10 - Excelente!,Profissionais muito competentes,Lapa,2022
02/7/2022 9:38:53,8 - Bom,Sinto falta de estacionamento. Mas o atendimento fou mto bom,Tatuapé,2022
02/7/2022 9:39:15,10 - Excelente!,Está ótimo.,Sorocaba,2022
02/7/2022 9:39:41,8 - Bom,Foi tudo maravilhoso,Piracicaba,2022
02/7/2022 9:40:42,10 - Excelente!,Sugestão: olhar as clientes que já pagaram e não fizeram o procedimento ainda. Elas podem voltar e fazer outras coisas também.,Paulista,2022
02/7/2022 9:41:57,10 - Excelente!,Fui mt bem atendida. A massagem da Milena é ótima,Moema,2022
02/7/2022 9:43:43,10 - Excelente!,"Atendimento ótimo recomendo, equipe profissional",Belo Horizonte,2022
02/7/2022 9:45:35,10 - Excelente!,Adorei o atendimento da Ana.,Tucuruvi,2022
02/7/2022 9:45:52,10 - Excelente!,Otimo,Piracicaba,2022
02/7/2022 9:46:10,10 - Excelente!,Esteticista muito atenciosa,Paulista,2022
02/7/2022 9:46:17,10 - Excelente!,Nenhuma,Copacabana,2022
02/7/2022 9:46:38,10 - Excelente!,Gostei do atendimento. Meninas super educadas e animadas.,Lapa,2022
02/7/2022 9:47:02,9 - Ótimo,"Prezados, Infelizmente o que foi prometido não foi cumprido. Comecei o tratamento em Ipanema e terminei em Copacabana. Depois de anos fazendo esse tratamento com vcs minha tatuagem, que é no dedo, não foi totalmente removida, mesmo comprando mais pacotes com a promessa que seria removida total. Então infelizmente não posso estar satisfeita e nem indicar para outras pessoas já que comigo não funcionou. Sinto mais por ter gasto meu tempo já que me pediram p ter paciência e comprar mais pacote que a remoção total era certa. Deveriam ter me informado que poderia ocorrer de não sair totalmente, mas ao invés disso a promessa vou a remoção total Lamentável!",Copacabana,2022
02/7/2022 9:48:09,10 - Excelente!,N/a,Copacabana,2022
02/7/2022 9:48:12,8 - Bom,"Demorou um pouco o atendimento, fiquei esperando uns 15 minutos e o espaço estava vazio, único ponto",Paulista,2022
02/7/2022 9:49:39,10 - Excelente!,Atendimento excelente,Santos,2022
02/7/2022 9:51:07,10 - Excelente!,"Amei, só precisa ter mais espaço para os cliente sentarem.",Ipiranga,2022
02/7/2022 9:53:07,9 - Ótimo,Gostei muito do atendimento,Belo Horizonte,2022
02/7/2022 9:53:13,9 - Ótimo,atendimento muito bom,Sorocaba,2022
02/7/2022 9:53:49,10 - Excelente!,"Atendimento maravilhoso, desde a recepção até nos procedimentos",Lapa,2022
02/7/2022 9:55:32,10 - Excelente!,"Até o momento, sem queixas.",Londrina,2022
02/7/2022 9:55:41,10 - Excelente!,Fui bem atendida,Tucuruvi,2022
02/7/2022 9:58:00,10 - Excelente!,Fui bem recebida nada acrescentar,Copacabana,2022
02/7/2022 10:00:44,10 - Excelente!,Nota 10 para a profissional que me atendeu e nota 0 em relação a demora no atendimento. Mais uma vez fiquei quase 1 hora aguardando para ser atendida precisa melhorar muito esse quesito pois o horário é agendado e é muita falta de respeito com o cliente ainda deixa lo aguardando por 1 hora.,Paulista,2022
02/7/2022 10:02:15,10 - Excelente!,Promoções mais atrativas,Copacabana,2022
02/7/2022 10:08:59,10 - Excelente!,"Atendimento excelente,muita simpatia e carinho pra receber o cliente.",Itaim,2022
02/7/2022 10:09:01,10 - Excelente!,Excelente atendimento e serviços,Itaim,2022
02/7/2022 10:09:56,10 - Excelente!,Bom atendimento.,Tatuapé,2022
02/7/2022 10:11:52,10 - Excelente!,Tudo maravilhoso,Paulista,2022
02/7/2022 10:12:44,10 - Excelente!,Nenhuma sugestão no momento,Tatuapé,2022
02/7/2022 10:16:51,10 - Excelente!,Suas promoções são maravilhosas.,Piracicaba,2022
02/7/2022 10:18:51,10 - Excelente!,"As meninas são mega atenciosas, simpáticas, e acolhedoras. A moça que fez a aplicação tb, amei 🌸. Agora, só esperar o resultado.",Moema,2022
02/7/2022 10:18:57,1 - Péssimo!,"Não gostei, estava agendada pra ir na unidade de Moema, me mandaram ir pra unidade da paulista e me fizeram esperar 40minutos pra ser atendida.",Paulista,2022
