Date,Score,Store,Year,Comment
2/07/2022 8:49,8,Store C,2022,Good service
2/07/2022 8:50,9,Store A,2022,Excellent service!
2/07/2022 8:50,9,Store D,2022,My experience is being wonderful
2/07/2022 8:50,8,Store B,2022,"I thought the service during the removal procedure was EXCELLENT, but I had to wait 20 minutes to be seen... as I had an appointment immediately after, I had to do my best... One point that could be improved would be the length of the appointment made."
2/07/2022 8:50,10,Store A,2022,I suggest that other professionals avoid entering the room during office hours.
2/07/2022 8:50,9,Store A,2022,Excellent service. Both the administrative team and the group of technical professionals.
2/07/2022 8:50,10,Store D,2022,"Very well attended! The team was willing to fit me into the schedule. The professional Lorena, who performed my treatment, is excellent."
2/07/2022 8:50,9,Store D,2022,"Excellent professional Isabella They urgently need to fix the cleaning device, it has been broken for months. Absurd."
2/07/2022 8:50,10,Store A,2022,N/A
2/07/2022 8:50,8,Store B,2022,The unit's staff does not interact with customers. Everything is limited to providing a quote.
2/07/2022 8:51,10,Store D,2022,Okay
2/07/2022 8:51,10,Store A,2022,"Great service, everyone is very helpful"
2/07/2022 8:51,10,Store D,2022,"In my opinion, everything is very good. Organization, treatment and everyone's affection, I can only thank you. Thank you very much for the service."
2/07/2022 8:51,9,Store C,2022,There could be a special price for those who need more than one type of treatment.
2/07/2022 8:51,9,Store D,2022,make promotions and send them every week via WhatsApp
2/07/2022 8:51,4,Store A,2022,I was dissatisfied with my incomplete non-shave waxing
2/07/2022 8:51,7,Store B,2022,Lack of management by the beautician when applying hecus
2/07/2022 8:52,9,Store D,2022,A little out of schedule
2/07/2022 8:52,10,Store B,2022,Very good service
2/07/2022 8:52,10,Store A,2022,"Very bad reception team, disorganized, excellent therapist Natália, I only got better with her, the others I did not get any! Just think, I only had 2 appointments with them, if I had more, there would have been an improvement in the blemish on my face."
2/07/2022 8:52,10,Store D,2022,Friendly and attentive professionals
2/07/2022 8:52,10,Store C,2022,"The service was great, the girls were always helpful"
2/07/2022 8:52,1,Store B,2022,"I have a habit of doing skin cleansing, and I had never left with my face so swollen and red, the professional used few instruments and removed most of the blackheads and pimples by squeezing, the experience was terrible."
2/07/2022 8:52,10,Store A,2022,Compliments to my consultant and the techniques that are super wonderful.
2/07/2022 8:53,9,Store A,2022,I was very grateful when before leaving I received a free protective mask that not everyone offers. THANK YOU
2/07/2022 8:53,8,Store A,2022,"I was well attended to, as usual."
2/07/2022 8:53,10,Store B,2022,"I liked the service, I have no criticisms to make"
2/07/2022 8:53,10,Store A,2022,none
2/07/2022 8:53,6,Store D,2022,It was incredibly difficult to get back in touch with the Tijuca unit to schedule the session. The unit does not have the equipment I used to start the treatment in Tijuca. I was seen late and the professional presented me poorly for a beauty company.
2/07/2022 8:54,10,Store A,2022,The professional who attended to me was excellent. I would even like to have future sessions with her.
2/07/2022 8:54,10,Store C,2022,"Excellent service, super polite girls. However, the procedure is not having any effect (tattoo removal). I noticed that there are several complaints about the same case from the company. I feel like I'm throwing my money away 😔"
2/07/2022 8:54,10,Store B,2022,The staff is very friendly. The online service is very efficient.
2/07/2022 8:54,9,Store B,2022,"You need to be a little more agile to serve customers at the scheduled time, to avoid delays."
2/07/2022 8:54,10,Store D,2022,I loved the service
2/07/2022 8:54,10,Store C,2022,"I loved the unit, excellent staff!!"
