Date,Score,Store,Year,Comment
02/7/2022 8:47:52,10,Tucuruvi,2022,"I was well attended to and they touched up my dark circles, because one had become fuller than the other. The doctor said I would have to buy another filler, but the consultant, who treated me well from the first time, gave me permission."
02/7/2022 8:47:56,10,Tatuapé,2022,.
02/7/2022 8:47:58,10,Santos,2022,The girls' service was wonderful! I appreciate all the attention!
02/7/2022 8:47:58,9,Santos,2022,Good service
02/7/2022 8:48:00,10,Ipiranga,2022,Stella is a good professional
02/7/2022 8:48:02,10,Ipiranga,2022,Wonderful team
02/7/2022 8:48:04,10,Londrina,2022,"The employee at the Londrina unit, Ariane, is a great professional. It's always great to be served by her. Keep up the good work with professionals like her..."
02/7/2022 8:48:04,10,Tatuapé,2022,"I was very well attended to from reception, sales and procedure attendant"
02/7/2022 8:48:05,10,Tucuruvi,2022,Great service
02/7/2022 8:48:08,9,Londrina,2022,"Excellent service, impeccable cleanliness and organization of the clinic! It was a great experience!"
02/7/2022 8:48:15,9,Tucuruvi,2022,I'm just loving everything
02/7/2022 8:48:18,10,Paulista,2022,.
02/7/2022 8:48:19,10,Sorocaba,2022,The girls are super attentive. I have nothing to complain about.
02/7/2022 8:48:19,4,Paulista,2022,"I have nothing to say, just congratulations."
02/7/2022 8:48:20,10,Tatuapé,2022,It's always a great energy to be at the Tatuapé unit ❤️
02/7/2022 8:48:21,6,Campinas,2022,Improve scheduling and hire more professionals
02/7/2022 8:48:24,10,Santos,2022,"I was very well attended to, everyone was very friendly."
02/7/2022 8:48:24,10,Tatuapé,2022,excellent
02/7/2022 8:48:24,8,Lapa,2022,Smooth service No delays
02/7/2022 8:48:28,10,Tatuapé,2022,Have more promotions to continue treatment
02/7/2022 8:48:29,10,Santos,2022,On the day they could have warned that they were without one of the pieces of equipment and rescheduled my session
02/7/2022 8:48:31,10,Paulista,2022,I really enjoyed all the procedures!
02/7/2022 8:48:33,10,Sorocaba,2022,"Nothing to suggest, everything was perfect!"
02/7/2022 8:48:35,10,Santos,2022,Great service
02/7/2022 8:48:38,10,Tucuruvi,2022,No comments
02/7/2022 8:48:45,10,Moema,2022,everything wonderful
02/7/2022 8:48:46,10,Paulista,2022,nothing to comment for now
02/7/2022 8:48:48,10,Santo Amaro,2022,"I loved the service, the doctor was super friendly and attentive. I loved everything."
02/7/2022 8:48:48,4,Paulista,2022,"The employee who applied the injections to me arrived 20 minutes late, didn't say anything about the delay, wanted to hurry up and end the session early. I was in unreal pain, even crying, she never tried to calm me down or be polite. She said the session lasts 20 minutes, I should decide whether to continue or stop. I understand her point of view, but she is super rude."
02/7/2022 8:48:55,10,Belo Horizonte,2022,Great service.
02/7/2022 8:48:55,10,Paulista,2022,Always very attentive.
02/7/2022 8:49:01,10,Tucuruvi,2022,No comments
02/7/2022 8:49:06,10,Campinas,2022,Your team here in Campinas is super attentive. I feel like I'm among friends.
02/7/2022 8:49:06,7,Tijuca,2022,It was done quickly and still comes out with a lot of cloves.
02/7/2022 8:49:08,10,Lapa,2022,I didn't like the result of the filler! I'll wait for the 30-day period to see if I'll get the expected result!
02/7/2022 8:49:10,10,Piracicaba,2022,.
02/7/2022 8:49:11,10,Tijuca,2022,"Very good service, great professional"
02/7/2022 8:49:12,10,Campinas,2022,"I liked what I was doing, I was very well received"
02/7/2022 8:49:18,10,Ipiranga,2022,"Just a matter of meeting the scheduled times, this time I was waiting half an hour"
02/7/2022 8:49:28,10,Ipiranga,2022,I think the calendar could be made available in an app and then you could only confirm it by calling/whatsapp
02/7/2022 8:49:36,10,Tijuca,2022,Very good service
02/7/2022 8:49:37,7,Tatuapé,2022,"Good morning. I would like the clinic to call the person 1 day before the appointment to confirm the person's attendance and to remind them. I am having my knees and elbows whitened in 3 sessions. I did the second one and I still am not seeing the desired results. I found the products to be too weak for the stain. These products are more for whitening the face and not knees and elbows. Thank you, Sandra Pinheiro dos Santos"
02/7/2022 8:49:47,10,Tatuapé,2022,Great atmosphere and excellent service!
02/7/2022 8:49:51,8,Santo Amaro,2022,Good service
02/7/2022 8:50:07,9,Paulista,2022,Excellent service!
02/7/2022 8:50:16,9,Tijuca,2022,My experience is being wonderful
02/7/2022 8:50:18,8,Campinas,2022,"I thought the service during the removal procedure was EXCELLENT, but I had to wait 20 minutes to be seen... as I had an appointment immediately after, I had to do my best... One point that could be improved would be the length of the appointment made."
02/7/2022 8:50:31,10,Lapa,2022,I suggest that other professionals avoid entering the room during office hours.
02/7/2022 8:50:32,9,Santos,2022,Excellent service. Both the administrative team and the group of technical professionals.
02/7/2022 8:50:41,10,Tijuca,2022,"Very well attended! The team was willing to fit me into the schedule. The professional Lorena, who performed my treatment, is excellent."
02/7/2022 8:50:41,9,Tijuca,2022,"Excellent professional Isabella They urgently need to fix the cleaning device, it has been broken for months. Absurd."
02/7/2022 8:50:44,10,Lapa,2022,N/A
02/7/2022 8:50:50,8,Tucuruvi,2022,The unit's staff does not interact with customers. Everything is limited to providing a quote.
02/7/2022 8:51:00,10,Copacabana,2022,Okay
02/7/2022 8:51:08,10,Tatuapé,2022,"Great service, everyone is very helpful"
02/7/2022 8:51:16,10,Belo Horizonte,2022,"In my opinion, everything is very good. Organization, treatment and everyone's affection, I can only thank you. Thank you very much for the service."
02/7/2022 8:51:26,9,Piracicaba,2022,There could be a special price for those who need more than one type of treatment.
02/7/2022 8:51:38,9,Copacabana,2022,make promotions and send them every week via WhatsApp
02/7/2022 8:51:45,4,Santos,2022,I was dissatisfied with my incomplete non-shave waxing
02/7/2022 8:51:48,7,Ipiranga,2022,Lack of management by the beautician when applying hecus
02/7/2022 8:52:02,9,Londrina,2022,A little out of schedule
02/7/2022 8:52:03,10,Tucuruvi,2022,Very good service
02/7/2022 8:52:09,10,Tatuapé,2022,"Very bad reception team, disorganized, excellent therapist Natália, I only got better with her, the others I did not get any! Just think, I only had 2 appointments with them, if I had more, there would have been an improvement in the blemish on my face."
02/7/2022 8:52:20,10,Tijuca,2022,Friendly and attentive professionals
02/7/2022 8:52:30,10,Sorocaba,2022,"The service was great, the girls were always helpful"
02/7/2022 8:52:39,1,Ipiranga,2022,"I have a habit of doing skin cleansing, and I had never left with my face so swollen and red, the professional used few instruments and removed most of the blackheads and pimples by squeezing, the experience was terrible."
02/7/2022 8:52:51,10,Tatuapé,2022,Compliments to my consultant and the techniques that are super wonderful.
02/7/2022 8:53:08,9,Santos,2022,I was very grateful when before leaving I received a free protective mask that not everyone offers. THANK YOU
02/7/2022 8:53:26,8,Tatuapé,2022,"I was well attended to, as usual."
02/7/2022 8:53:35,10,Campinas,2022,"I liked the service, I have no criticisms to make"
02/7/2022 8:53:35,10,Paulista,2022,none
02/7/2022 8:53:36,6,Tijuca,2022,It was incredibly difficult to get back in touch with the Tijuca unit to schedule the session. The unit does not have the equipment I used to start the treatment in Tijuca. I was seen late and the professional presented me poorly for a beauty company.
02/7/2022 8:54:00,10,Paulista,2022,The professional who attended to me was excellent. I would even like to have future sessions with her.
02/7/2022 8:54:08,10,Santo Amaro,2022,"Excellent service, super polite girls. However, the procedure is not having any effect (tattoo removal). I noticed that there are several complaints about the same case from the company. I feel like I'm throwing my money away 😔"
02/7/2022 8:54:17,10,Ipiranga,2022,The staff is very friendly. The online service is very efficient.
02/7/2022 8:54:22,9,Campinas,2022,"You need to be a little more agile to serve customers at the scheduled time, to avoid delays."
02/7/2022 8:54:24,10,Tijuca,2022,I loved the service
02/7/2022 8:54:32,10,Barra da Tijuca,2022,"I loved the unit, excellent staff!!"
